,calories,carbs,description,fat,ingredients,protein,rating,reviews,title
0,371kcal,31.6g,"&#34;If you want a good, basic chili recipe, this is it. No odd vegetables, or secret ingredients, just ground beef, tomatoes, red kidney beans, and the usual spices. Simple and delicious.&#34;",17.5g,"['2 pounds ground beef', '2 onions, chopped', '4 cloves garlic, minced', '2 stalks celery, finely chopped', '1 carrot, shredded', '4 (14.5 ounce) cans stewed tomatoes', '1 (15 ounce) can tomato sauce', '2 tablespoons chili powder', '2 teaspoons Italian seasoning', '2 teaspoons salt', '1 (15 ounce) can kidney beans with liquid']",24.5g,4.33,3,My Simple Chili Recipe - Allrecipes.com
1,281kcal,30.9g,"&#34;This is my version of Chicken Chili, it was kinda thrown together for work and EVERYONE loved it.&#34;",3.6g,"['2 pounds skinless, boneless chicken breast meat - cubed', '1/2 tablespoon olive oil', '1 tablespoon Italian seasoning', '2 (28 ounce) cans whole peeled tomatoes', '1 (16 ounce) can chili beans, drained and rinsed', '1 (15 ounce) can kidney beans, drained and rinsed', '1 (1.25 ounce) package chili seasoning mix', '1 (4 ounce) can diced green chile peppers', '1 onion, minced', '3 cloves garlic, minced', '1/2 cup water']",34.8g,4.08,26,Momma OB's Chicken Chili Recipe - Allrecipes.com
2,411kcal,31.6g,"&#34;It is a chili...tomato base soup...without beans.  It is a soup that my family enjoys a great deal.  A variety of meats work in this soup, such as turkey, beef, or deer meat.  Can also top with shredded cheddar cheese when serving. Garnish with parsley.&#34;",21.1g,"['2 pounds lean ground beef', '1 onion, chopped', '2 cloves garlic, minced', '1 (15 ounce) can tomato sauce', '1 (29 ounce) can diced tomatoes', '4 cups water', '6 potatoes, diced', '1 teaspoon hot pepper sauce']",22.2g,3.80,14,Chili Without The Beans Recipe - Allrecipes.com
3,382kcal,26.8g,"&#34;Quick, easy, yummy chili from Texas.&#34;",18.7g,"['1 pound ground beef', '1 large onion, chopped', '1 (15 ounce) can ranch-style beans', '1 (10 ounce) can diced tomatoes with green chile peppers', '1 (1.25 ounce) package chili seasoning mix', 'salt and pepper to taste', '2 teaspoons chili powder, or to taste', '1 cup water, or as needed']",27g,4.64,49,Mom's Chili Recipe - Allrecipes.com
4,818kcal,21.3g,"&#34;This hot, spicy, complex New Mexico-style buffalo, chorizo, and pork chili will have you howling like a desert coyote. The meat marinates in dry seasoning overnight, so you'll need to plan ahead.&#34;",53.8g,"['1 teaspoon unsweetened cocoa powder', '1 teaspoon dried Mexican oregano', '1 teaspoon dried basil', '1 teaspoon dried marjoram', '2 teaspoons ground cumin', '1 tablespoon hot chili powder', '1 teaspoon garlic powder', '2 teaspoons hickory smoked salt', '1 teaspoon ground black pepper', '2 teaspoons cayenne pepper', '2 pounds buffalo stew meat, cubed', '2 pounds chorizo sausage, chopped', '2 pounds pork stew meat, cubed', '2 slices hickory-smoked bacon, diced', '3 sweet onions, coarsely chopped', '2 habanero peppers, seeded and chopped', '4 jalapeno peppers, seeded and chopped', '7 cloves garlic, minced', '2 teaspoons New Mexico chile powder', '1 tablespoon lard, or more as needed', '3 (10 ounce) cans diced tomatoes with green chile peppers (such as RO*TEL&#174;), undrained', '2 (7.75 ounce) cans salsa (such as El Pato&#174; Salsa de Chile Fresco)', '1 (6 ounce) can tomato paste', '1 (16 ounce) jar picante sauce (such as Pace&#174; Picante Sauce)', '2 (4 ounce) cans diced green chiles (such as Ortega&#174; Diced Green Chiles)', '1 (12 fluid ounce) bottle dark beer, or as needed']",59g,4.33,3,Mr. Bill's New Mexico Buffalo Chili Recipe - Allrecipes.com
5,392kcal,42g,"&#34;This is a great healthy and easy-to-make chili, made famous at Firehouse Station No. 2 in Madison, Wisconsin. Serve with corn bread johnny-cakes.&#34;",14g,"['2 1/2 pounds lean ground turkey', '1 pound bulk hot Italian sausage', '2 green bell peppers, diced', '2 red bell peppers, diced', '4 (15 ounce) cans diced tomatoes', '2 (15 ounce) cans chili beans', '2 (15 ounce) cans red beans in chili sauce', '1 (15 ounce) can yellow and white corn, drained', '1 (15 ounce) can black beans', '2 (4 ounce) cans chopped green chile peppers', '1/2 cup barbeque sauce', '1/4 cup ground cumin, or to taste', '1/4 cup chili powder, or to taste', '1 tablespoon chopped fresh parsley', '1 tablespoon red pepper flakes']",29.4g,4.92,11,Firehouse Station 2 Healthy Chili Recipe - Allrecipes.com
6,285kcal,14.9g,"&#34;Absolutely delicious. I know it doesn't sound appetizing, but it's unbelievable how tasty it is, and so easy too!&#34;",16.6g,"['1 tablespoon vegetable oil', '1 cup chopped onion', '1/2 cup chopped green bell pepper', '1/2 cup chopped yellow bell pepper', '1 clove garlic, minced', '1 pound ground turkey', '1 (14.5 ounce) can diced tomatoes', '2 cups pumpkin puree', '1 1/2 tablespoons chili powder', '1/2 teaspoon ground black pepper', '1 dash salt', '1/2 cup shredded Cheddar cheese', '1/2 cup sour cream']",21.2g,4.29,768,Pumpkin Turkey Chili Recipe - Allrecipes.com
7,337kcal,37.4g,"&#34;This is a very good chili made with pineapple for sweetness. Since this is a large recipe, you might want to go half-batch if this is just for a small family.&#34;",11.7g,"['2 pounds ground beef', '6 onions, chopped', '2 red bell peppers, seeded and chopped', '2 (16 ounce) cans stewed tomatoes, with juice', '2 (15.5 ounce) cans kidney beans, with liquid', '1 (16 ounce) can tomato sauce', '1 (16 ounce) can pineapple chunks, drained', '2 tablespoons chili powder', '2 teaspoons salt']",22.8g,4.43,16,Hawaiian-Style Chili Recipe - Allrecipes.com
8,294kcal,26g,"&#34;A hearty venison chili made with tomatoes, onion and beans. Tequila gives it a boost of flavor. Adjust the spices to your taste.&#34;",6.1g,"['2 tablespoons vegetable oil', '3 pounds ground venison', '2 stalks celery, diced', '3 cups chopped white onion', '1/2 teaspoon dried red pepper flakes', '1 tablespoon garlic powder', '1/4 cup chili powder', '2 (28 ounce) cans diced tomatoes', '1 (16 ounce) can tomato sauce', '1/2 cup gold tequila', '1/2 cup orange juice', '2 (15 ounce) cans chili beans in sauce']",29.5g,4.54,23,Venison Tequila Chili Recipe - Allrecipes.com
9,539kcal,39.2g,"&#34;Southwestern style chili with chipotle peppers and beef. The chipotle peppers add a nice smoky flavor to this dish.  Spice it up or spice it down, it's up to you.  You can find chipotle peppers in the Mexican specialty aisle in the supermarket or at a Latin grocer.  Make sure to purchase the chipotle peppers in the can with Adobo Sauce. Serve with sour cream and cheddar cheese.&#34;",27.2g,"['1 pound lean ground beef', '1 onion, chopped', '2 chipotle peppers in adobo sauce', '1 (10 ounce) can diced tomatoes with green chile peppers', '2 (15 ounce) cans kidney beans, drained and rinsed', '2 teaspoons kosher salt', '2 teaspoons ground cumin', '3/4 teaspoon garlic powder', '1 teaspoon chili powder', '3 teaspoons hot pepper sauce', '1/4 cup shredded Cheddar cheese']",34.3g,4.13,20,Ten Minute Chipotle Spiced Beef and Bean Chili Recipe - Allrecipes.com
